,Parcel ID,Description,Location,Assessed Value,Total Parcel Acres
1209,RS309.,MH,2943 US ROUTE 2 SOUTH,10100,
1210,SA191.,LAND,191 ALBURGH  SPRINGS ROAD,22900,28.0
1211,RT225.,LAND & HOUSE,2159 ROUTE 78,361700,52.11
1212,RT243.,MHOME & LOT,2327 ROUTE 78,58900,1.11
1213,SM001.A-B,LOT & BUILDING,27 SOUTH MAIN,114500,0.8
1214,GR005.,LAND & HOUSE,3972 GREENWOODS ROAD,189000,3.5
1215,LS003.,LOT & HOUSE,35 LAKE STREET,126400,0.21
1216,KF011.,LOT & HOUSE,117 KIRK & FITTS,114500,0.43
1217,WL014.,LOT & HOUSE,124 WINTER'S LANE,81000,0.75
1218,GP069.,ARTIC WOLF,69 GOOSEPOINT CAMPGROUND,16200,
1219,RU008.,LOT & HOUSE,28 ROCHLEAU LANE,214800,0.92
1220,ATB15.,09 WOODLAND,12B ALBURGH RV RESORT,11100,
1221,MD011.,LOT & HOUSE,73 MATTHIAS LANE,129100,0.8
1222,KN004.,LOT & HOUSE,51 KIRK & FITTS NORTH,173100,0.24
1223,PF154.,LOT & HOUSE,154 POOR FARM ROAD,220800,0.35
1224,RS766.,LAND & HOUSE,7250 US ROUTE 2 SOUTH,149500,3.07
1225,FH075.,LAND & HOUSE,695 FIRE HOUSE ROAD,357300,12.46
1226,CP173.,LOT & HOUSE,1615 PALMERS SAND BEACH ROAD,798600,2.06
1227,RS726.,LAND & BUILDING,7362 US ROUTE 2 SOUTH,441100,188.0
1228,RS782.,BUILDING,7360 US ROUTE 2 SOUTH,59800,
1229,RS784.,LAND & HOUSE,7418 US ROUTE 2 SOUTH,385700,18.57
1230,ME006.,LOT & 2018 GRAND A DESIGN,60 MOONEY DRIVE,67400,0.13
1231,DD024.,LOT & MHOME,25 DESO DRIVE,85800,0.46
1232,MR141.,LAND & HOUSE,1347 MARTELL ROAD,123500,15.0
1233,MP004.,LOT & MHOME,38 MUD POINT SOUTH,52000,0.47
1234,BD063.,LAND  & HOUSE,609 BORDER ROAD,261100,10.9
1235,SM269.,LOT AND HOUSE,269 SOUTH MAIN,105000,0.33
1236,SS002.,LOT & MHOME,32 SOWLES STREET,45200,0.1
1237,EA043.,LOT & HOUSE,423 EAST ALBURGH  RD,145700,0.16
1238,GR095.,LAND & HOUSE,3118 GREENWOODS ROAD,194900,10.7
1239,SS016.,LOT & MHOME,136 SOWLES STREET,47900,0.4
1240,GR136.,LAND & MHOME,2735 GREENWOODS ROAD,118700,10.0
1241,RT141.,LAND & HOUSE,141 ROUTE 78,317800,48.74
1242,SM052.,LOT & HOUSE,468 SOUTH MAIN,153800,0.98
1243,CE093.,LOT & HOUSE,93 CEDARVALE EST,274200,1.28
1244,PT064.,LAND & HOUSE,64 POINT OF TONGUE,547900,3.15
1245,GR233.,LAND & MHOME,1824 GREENWOODS ROAD,117800,10.23
1246,CD009.,LOT,107 CEDAR LANE,19500,0.18
1247,AS002.,LOT & HOUSE,24 ACADEMY STREET,155900,1.0
1248,CS023.,LOT & MHOME,197 CLELAND SOUTH,104600,0.41
1249,NM005.,LOT & HOUSE,55 NORTH MAIN STREET,112500,0.22
1250,GP104.,1997 SEAHAWK,104 GOOSEPOINT CAMPGROUND,5000,
1251,GP103.,2007 FOUR WINDS,103 GOOSEPOINT CAMPGROUND,8800,
1252,GP102.,2002 CITATION  295B,102 GOOSEPOINT  CAMPGROUND,6800,
1253,VA012.,LOT,104 VANTINE AVENUE,46300,0.31
1254,GP105.,2017 FORESTRIVER,105 GOOSEPOINT   CAMPGROUND,22200,
1255,SM040.,LOT & HOUSE,312 SOUTH MAIN,134900,1.0
1256,RO218.,LOT & MHOME,218 ROUTE 129,169200,1.0
1257,BT008.,CAMP,8 BRULEY TRAILER PRK,43700,
1258,MT016.,LOT & HOUSE,294 MOTT STREET NORTH,168800,0.13
1259,HD027.,LAND & HOUSE,27 HIDDEN DRIVE,219900,10.1
1260,TR107.,LOT & HOUSE,1027 TRUCK ROUTE,115300,0.51
1261,RT031.,LOT & HOUSE,323 ROUTE 78,125000,1.5
1262,LR062.,LAND & HOUSE,1241 LINE ROAD,135100,12.6
1263,GR043.,LAND & HOUSE,3610 GREENWOODS ROAD,127400,2.89
1264,ME002.,LOT & HOUSE,28 MOONEY DRIVE,115600,0.14
