,gs_equipment_location,gs_facility_id,gs_rated_kva,x,y
3233,E72805203079135,26218,15.0,1450452.3119763248,902175.982195802
3234,E72805203079093,32562,10.0,1449949.302686762,901829.6568204165
3235,E72805200038951,15015,10.0,1449870.7849962562,907948.7646773085
3236,E72805203105197,26277,10.0,1450137.0863947086,910157.3922981471
3237,E72805200039671,15111,10.0,1449544.3024340756,913584.7964350283
3238,E72804500042791,16764,10.0,1461566.4162550755,901254.1549860612
3239,E72804500042714,16485,10.0,1455996.8920640796,900989.9121790603
3240,E72809600042790,16861,10.0,1454440.2354185618,897150.6592072025
3241,E72804503093033,23552,99.0,1453628.0256930962,895035.9636079744
3242,E72804503080381,23553,15.0,1453706.201958675,895195.0475385264
3243,E72804503093038,16177,25.0,1453535.509580724,894859.667844519
3244,E72809603093043,16102,15.0,1453398.1463004574,894606.842688635
3245,E72809600042789,16771,25.0,1452597.5349804796,891873.3947507665
3246,E72809603093093,23530,25.0,1452356.26806245,890247.2380494848
3247,E72804503093291,16785,25.0,1452124.269826904,889536.0800594762
3248,E72804503093294,23540,99.0,1452240.394468546,889034.1251704171
3249,E72809603093300,16217,10.0,1452421.9245773442,888604.6289347038
3250,E72809600040092,11922,15.0,1453498.3645574264,887586.3830755055
3251,E72804503093309,15521,10.0,1453339.049662955,887800.4263768345
3252,E72804503093109,15588,10.0,1459569.9540984854,901514.1801910698
3254,E72809603093110,22648,25.0,1459634.9654206932,902112.0955674648
3255,E72809600041497,15954,15.0,1458997.5451722592,899210.2347650975
3256,E72809600042787,31832,15.0,1457352.9113574699,893404.3641917408
3257,E72809600039719,15290,10.0,1456586.2617754787,888209.2525970489
3258,E72809603093317,23528,15.0,1456843.89700602,888079.0592401773
3259,E72804503093319,15506,10.0,1457401.5141995288,887803.2983629555
3260,E72804500043157,16851,15.0,1457962.304636445,887529.2044427246
3261,E72809603093336,16246,15.0,1457608.7390442975,886524.6218566597
3262,E72804500040537,15736,10.0,1456521.2705370933,886454.4489929602
3263,E72804500042788,30157,15.0,1456312.5092801638,885689.1249430254
3264,E72804503093365,15525,10.0,1456610.3924840465,885531.0552453324
3265,E72809600041108,16794,15.0,1456443.3553611562,884960.2429827228
3266,E72804503093380,16176,25.0,1456132.2570043541,884433.0527750477
3267,E72804503093379,23514,10.0,1455885.1356530786,884726.2564490885
